clan_id,clan_name,message_of_the_day,owner_id
366,Eternal Order,Perseverance,3608
421,Concrete Shoes,,383
444,Nemesis,Add a message of the day.g,79160
1940,RelentlessRebels,,1445
3746,♥(  .  Y  .  )♥,,978
6404,Faceless,,6403
6419,Blood Oath,,6215
8270,Moist Clams PVE,,6451
17701,Entity,,15837
18798,Warlocks Of Ra,,18506
19054,BlackMidget PVE,Add a message of the day.`,822
27766,☻,Add a message of the day.g,27664
29245,Balehawk Clan,,29188
31257,Shungite PVE,,3639
42353,train54 PVE,,6763
42713,Frax,,18661
43278,Scholar,,2269
50273,Titans-PVE,,50090
59498,Thralls Deep PvE,,59492
61872,Cult of Tim PvE,,55978
75329,The Goon - PvE,,75217
78115,Ghosts,,78100
84328,cloudyskys,,84250
91285,We Cant Read,,88453
108504,Heroes of Dawn,,14896
123260,The Ravagers,,122252
126996,Jet Black Wings,,126992
136078,clan,,136077
136174,The Akatsuki,,133078
161593,Raven,,161290
171739,The Dark Hunters,,164305
174483,Leg X Gemina,,47491
174913,Tomb of Nazerick,,175166
